Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
25.4,152.4,3,0.41,0.26,0.92,0.005,1.04,0.23,0.15,0.026,0.005,860,3,705,-32,81
25.4,95.25,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,860,3,705,-32,117.3333
25.4,69.85,3,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,870,3,590,-32,81.3333
25.4,365.13,3,0.41,0.27,0.95,0.017,1.14,0.33,0.16,0.024,0.005,870,3,700,23,113
25.4,82.55,3,0.42,0.29,0.94,0.018,1.05,0.23,0.24,0.026,0.005,860,3,705,-32,114.6667
12.5,240,4,0.42,0.25,0.84,0.022,1.08,0.22,0.23,0.027,0.004,860,3,650,20,102.3333
12.5,150,3,0.34,0.22,0.67,0.029,1.53,0.19,1.43,0.03,0.006,860,2,570,-20,23.6667
25.8333,155,6,0.3,0.28,1.69,0.019,0.18,0.03,0.09,0.024,0.05,900,3,640,0,96.3333
60.325,120.65,3,0.42,0.25,0.93,0.004,1.06,0.23,0.21,0.026,0.005,870,3,705,-32,51.9723
12.5,150,6,0.42,0.28,0.74,0.025,1.1,0.21,0.16,0.027,0.005,840,3,650,20,93
12.5,220,4,0.42,0.24,0.81,0.028,1.06,0.2,0.28,0.032,0.004,860,3,650,20,98.3333
12.7,230,3,0.34,0.35,0.69,0.028,1.45,0.21,1.38,0.023,0.006,860,1,570,20,83.3333
12.7,210,3,0.32,0.22,0.56,0.02,1.06,0.23,0.17,0.023,0.005,870,3,660,-32,75.9247
12.5,381,4,0.42,0.27,0.79,0.024,1.12,0.23,0.29,0.028,0.005,860,3,640,20,84.2667
25.4,152.4,4,0.42,0.23,0.93,0.018,1.04,0.24,0.2,0.025,0.005,860,3,690,-32,65.3333
12.5,350,4,0.43,0.28,0.77,0.022,1.06,0.21,0.21,0.026,0.005,860,3,640,20,64
25.4,222.25,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,860,3,710,23,137
25.4,101.6,3,0.42,0.25,0.99,0.019,1.1,0.24,0.17,0.019,0.005,860,3,705,-32,143
12.7,190,3,0.315,0.26,0.6,0.004,1.05,0.24,0.22,0.024,0.004,870,3,660,-32,101.2327
12.5,340,4,0.43,0.3,0.84,0.022,1.03,0.21,0.23,0.022,0.004,860,3,650,20,90.3333
12.5,138,3,0.34,0.22,0.67,0.029,1.53,0.19,1.43,0.03,0.006,860,2,580,-20,80
25.4,165.1,4,0.42,0.27,0.95,0.018,1.08,0.24,0.18,0.024,0.005,860,3,690,-32,65.3333
12.5,130,3,0.42,0.26,0.78,0.026,1.07,0.22,0.17,0.024,0.005,860,2,590,23,63
12.7,76.2,6,0.34,0.25,0.73,0.033,1.26,0.04,0.05,0.043,0.004,900,1,590,20,134.6667
12.7,160,3,0.42,0.28,0.78,0.022,1.1,0.17,0.26,0.024,0.003,860,3,630,20,104.6667
12.7,135,6,0.42,0.26,0.74,0.024,1.08,0.21,0.23,0.024,0.005,840,3,650,20,122.6667
12.7,250,3,0.32,0.23,0.54,0.005,1.04,0.24,0.24,0.022,0.003,870,3,650,-32,71.8577
12.7,220,3,0.41,0.33,0.75,0.026,1.04,0.16,0.05,0.031,0.004,860,3,620,20,81.3333
12.7,280,4,0.42,0.26,0.72,0.025,1.13,0.22,0.19,0.025,0.004,860,3,640,20,101.6667
25.4,120.65,3,0.42,0.27,0.95,0.01,1.07,0.24,0.16,0.023,0.005,860,3,705,-32,78.6667
12.7,170,3,0.325,0.22,0.55,0.002,1.07,0.25,0.2,0.027,0.005,880,3,650,-32,71.3333
12.7,170,5,0.43,0.28,0.75,0.024,1.08,0.21,0.22,0.026,0.004,850,3,580,20,74.9333
12.5,305,3,0.31,0.21,0.54,0.004,1.05,0.24,0.19,0.032,0.005,870,3,660,-32,48.357
12.5,90,4,0.41,0.23,0.96,0.013,1.16,0.24,0.2,0.02,0.004,870,3,680,-32,115.3333
12.5,260,4,0.42,0.31,0.75,0.026,1.11,0.21,0.22,0.028,0.005,860,3,650,20,95.3333
12.5,220,4,0.42,0.26,0.76,0.026,1.09,0.22,0.2,0.034,0.004,860,3,630,20,87.7333
25.4,203.2,3,0.42,0.26,0.95,0.019,1.1,0.3,0.2,0.025,0.004,870,3,705,23,123.3333
25.4,120.65,3,0.42,0.24,0.96,0.017,1.04,0.23,0.15,0.022,0.005,860,3,705,-32,59.6667
25.4,177.8,4,0.46,0.25,1.05,0.023,1.18,0.32,0.18,0.02,0.007,870,3,610,23,75.3333
12.5,260,4,0.44,0.26,0.77,0.027,1.07,0.2,0.3,0.025,0.005,860,3,650,20,100.6667
12.5,180,3,0.32,0.27,0.55,0.007,1.05,0.24,0.16,0.032,0.005,870,3,660,-32,94.002
